node_A_num	node_B_num	combined_score
1042	555	0.224
304	52	0.151
355	514	0.634
452	323	0.156
458	23	0.307
546	666	0.219
969	163	0.151
1080	953	0.539
49	493	0.503
107	437	0.186
324	190	0.321
587	554	0.346
653	340	0.959
40	32	0.24
51	425	0.151
85	150	0.156
403	1052	0.268
406	467	0.554
413	623	0.167
448	473	0.278
512	230	0.222
585	9	0.252
814	762	0.209
998	204	0.681
998	66	0.153
1107	448	0.179
473	538	0.97
695	1159	0.207
1021	972	0.391
86	204	0.165
188	626	0.474
206	413	0.908
327	947	0.26
804	805	0.642
895	535	0.638
960	172	0.313
1136	416	0.207
1168	168	0.178
11	755	0.422
224	668	0.156
579	418	0.329
579	1169	0.196
646	220	0.449
727	380	0.249
540	284	0.85
908	960	0.213
1132	77	0.999
1159	190	0.323
117	375	0.228
736	164	0.267
991	929	0.873
944	19	0.212
42	750	0.215
143	725	0.234
216	542	0.198
244	398	0.425
421	187	0.213
633	251	0.163
105	1044	0.33
915	375	0.912
922	399	0.712
922	1113	0.173
174	1167	0.286
274	1033	0.247
662	981	0.504
737	383	0.599
910	201	0.154
1054	600	0.292
257	655	0.808
818	416	0.158
941	397	0.253
953	783	0.181
62	155	0.574
593	1153	0.263
824	1001	0.226
923	8	0.328
923	1042	0.582
1038	270	0.838
1038	187	0.197
73	972	0.255
222	313	0.321
256	54	0.161
752	105	0.209
752	211	0.768
799	994	0.27
1005	733	0.189
1050	963	0.253
386	639	0.166
400	1176	0.303
725	1068	0.21
931	457	0.314
956	1126	0.998
972	764	0.854
972	451	0.176
110	918	0.394
121	661	0.352
816	185	0.249
1069	929	0.869
366	393	0.182
534	972	0.415
1030	721	0.194
418	703	0.258
570	776	0.201
572	492	0.178
743	378	0.233
986	740	0.156
271	116	0.422
657	140	0.413
660	535	0.345
835	730	0.336
1169	697	0.331
29	365	0.297
398	987	0.573
398	554	0.674
462	319	0.191
857	19	0.723
23	20	0.335
303	634	0.41
306	683	0.213
375	975	0.157
375	846	0.303
74	265	0.24
84	240	0.3
246	295	0.628
246	1076	0.286
477	1023	0.426
686	573	0.195
820	923	0.68
1058	43	0.157
426	909	0.212
426	458	0.36
663	166	0.185
676	458	0.26
981	601	0.838
76	1055	0.187
409	880	0.171
888	962	0.819
888	845	0.998
190	528	0.206
581	589	0.309
655	104	0.29
893	211	0.151
1052	29	0.275
263	813	0.237
288	1014	0.287
842	422	0.535
1164	1034	0.51
28	1152	0.225
78	1055	0.726
360	196	0.226
378	233	0.245
392	591	0.299
392	824	0.159
590	363	0.517
879	994	0.477
989	1020	0.203
1006	693	0.29
1006	113	0.993
1023	1085	0.168
80	1016	0.194
151	1153	0.324
524	699	0.18
836	120	0.228
954	1124	0.273
114	63	0.234
443	539	0.308
443	804	0.257
443	1058	0.169
483	210	0.228
594	355	0.163
801	556	0.182
1079	490	0.258
119	462	0.16
189	536	0.166
189	42	0.282
527	717	0.296
639	707	0.27
792	216	0.676
825	752	0.385
841	727	0.291
938	875	0.709
939	783	0.374
939	400	0.288
1145	1071	0.232
158	956	0.6
402	866	0.189
546	857	0.998
767	50	0.729
967	252	0.212
587	116	0.533
724	705	0.21
1016	782	0.526
43	19	0.518
169	396	0.992
198	1091	0.302
585	376	0.305
738	842	0.265
755	735	0.454
766	7	0.162
1031	947	0.179
313	312	0.263
695	546	0.173
741	207	0.582
927	143	0.196
46	855	0.196
86	252	0.256
327	207	0.175
327	526	0.28
382	964	0.238
431	909	0.227
431	273	0.32
431	1091	0.501
714	1022	0.204
895	626	0.376
943	29	0.221
1019	1034	0.203
1104	721	0.434
1168	957	0.185
1168	838	0.206
1127	437	0.764
1135	1138	0.167
1152	728	0.282
437	666	0.375
599	1044	0.27
757	689	0.186
807	657	0.204
861	597	0.403
908	348	0.193
1132	1058	0.281
270	1142	0.169
396	758	0.184
401	1127	0.209
839	728	0.323
994	158	0.177
275	438	0.258
292	401	0.218
514	868	0.15
514	32	0.957
568	19	0.318
597	156	0.245
844	309	0.247
878	545	0.991
1070	231	0.504
159	1159	0.304
404	826	0.481
467	226	0.426
499	1050	0.246
516	721	0.167
707	201	0.27
383	956	0.196
530	1072	0.253
718	911	0.207
883	410	0.2
915	6	0.156
1130	1029	0.756
61	865	0.375
79	1159	0.62
196	204	0.162
220	938	0.15
453	917	0.968
871	572	0.205
1044	614	0.27
1054	567	0.306
24	1140	0.304
658	990	0.291
803	737	0.176
818	185	0.991
818	283	0.501
953	961	0.232
953	675	0.25
226	962	0.152
556	220	0.277
73	1085	0.992
299	649	0.967
561	187	0.227
752	1085	0.199
815	844	0.29
826	813	0.169
859	883	0.657
899	1041	0.23
1120	530	0.188
1120	79	0.84
1140	192	0.282
1140	176	0.17
729	73	0.185
797	743	0.989
956	343	0.269
972	1055	0.172
652	321	0.239
739	752	0.17
162	145	0.999
282	355	0.316
282	556	0.291
366	805	0.247
829	844	0.196
261	521	0.185
580	895	0.914
877	150	0.293
877	410	0.24
1030	926	0.165
69	997	0.176
