sample_id	population_description
HG01177	Puerto Rican in Puerto Rico
HG01178	Puerto Rican in Puerto Rico
HG01182	Puerto Rican in Puerto Rico
HG01183	Puerto Rican in Puerto Rico
HG01184	Puerto Rican in Puerto Rico
HG01187	Puerto Rican in Puerto Rico
HG01188	Puerto Rican in Puerto Rico
HG01189	Puerto Rican in Puerto Rico
HG01190	Puerto Rican in Puerto Rico
HG01191	Puerto Rican in Puerto Rico
HG01192	Puerto Rican in Puerto Rico
HG01195	Puerto Rican in Puerto Rico
HG01197	Puerto Rican in Puerto Rico
HG01198	Puerto Rican in Puerto Rico
HG01199	Puerto Rican in Puerto Rico
HG01200	Puerto Rican in Puerto Rico
HG01204	Puerto Rican in Puerto Rico
HG01205	Puerto Rican in Puerto Rico
HG01206	Puerto Rican in Puerto Rico
HG01241	Puerto Rican in Puerto Rico
HG01242	Puerto Rican in Puerto Rico
HG01243	Puerto Rican in Puerto Rico
HG01247	Puerto Rican in Puerto Rico
HG01248	Puerto Rican in Puerto Rico
HG01249	Puerto Rican in Puerto Rico
HG01250	"Colombian in Medellin, Colombia"
HG01251	"Colombian in Medellin, Colombia"
HG01252	"Colombian in Medellin, Colombia"
HG01253	"Colombian in Medellin, Colombia"
HG01254	"Colombian in Medellin, Colombia"
HG01255	"Colombian in Medellin, Colombia"
HG01256	"Colombian in Medellin, Colombia"
HG01257	"Colombian in Medellin, Colombia"
HG01258	"Colombian in Medellin, Colombia"
HG01259	"Colombian in Medellin, Colombia"
HG01260	"Colombian in Medellin, Colombia"
HG01261	"Colombian in Medellin, Colombia"
HG01269	"Colombian in Medellin, Colombia"
HG01271	"Colombian in Medellin, Colombia"
HG01272	"Colombian in Medellin, Colombia"
HG01273	"Colombian in Medellin, Colombia"
HG01274	"Colombian in Medellin, Colombia"
HG01275	"Colombian in Medellin, Colombia"
HG01276	"Colombian in Medellin, Colombia"
HG01277	"Colombian in Medellin, Colombia"
HG01278	"Colombian in Medellin, Colombia"
HG01279	"Colombian in Medellin, Colombia"
HG01280	"Colombian in Medellin, Colombia"
HG01281	"Colombian in Medellin, Colombia"
HG01284	"Colombian in Medellin, Colombia"
HG01286	Puerto Rican in Puerto Rico
HG01301	Puerto Rican in Puerto Rico
HG01302	Puerto Rican in Puerto Rico
HG01303	Puerto Rican in Puerto Rico
HG01305	Puerto Rican in Puerto Rico
HG01308	Puerto Rican in Puerto Rico
HG01311	Puerto Rican in Puerto Rico
HG01312	Puerto Rican in Puerto Rico
HG01322	Puerto Rican in Puerto Rico
HG01323	Puerto Rican in Puerto Rico
HG01324	Puerto Rican in Puerto Rico
HG01325	Puerto Rican in Puerto Rico
HG01326	Puerto Rican in Puerto Rico
HG01327	Puerto Rican in Puerto Rico
HG01334	British in England and Scotland
HG01341	"Colombian in Medellin, Colombia"
HG01342	"Colombian in Medellin, Colombia"
HG01343	"Colombian in Medellin, Colombia"
HG01344	"Colombian in Medellin, Colombia"
HG01345	"Colombian in Medellin, Colombia"
HG01346	"Colombian in Medellin, Colombia"
HG01347	"Colombian in Medellin, Colombia"
HG01348	"Colombian in Medellin, Colombia"
HG01349	"Colombian in Medellin, Colombia"
HG01350	"Colombian in Medellin, Colombia"
HG01351	"Colombian in Medellin, Colombia"
HG01352	"Colombian in Medellin, Colombia"
HG01353	"Colombian in Medellin, Colombia"
HG01354	"Colombian in Medellin, Colombia"
HG01355	"Colombian in Medellin, Colombia"
HG01356	"Colombian in Medellin, Colombia"
HG01357	"Colombian in Medellin, Colombia"
HG01358	"Colombian in Medellin, Colombia"
HG01359	"Colombian in Medellin, Colombia"
HG01360	"Colombian in Medellin, Colombia"
HG01361	"Colombian in Medellin, Colombia"
HG01362	"Colombian in Medellin, Colombia"
HG01363	"Colombian in Medellin, Colombia"
HG01364	"Colombian in Medellin, Colombia"
HG01365	"Colombian in Medellin, Colombia"
HG01366	"Colombian in Medellin, Colombia"
HG01367	"Colombian in Medellin, Colombia"
HG01369	"Colombian in Medellin, Colombia"
HG01372	"Colombian in Medellin, Colombia"
HG01374	"Colombian in Medellin, Colombia"
HG01375	"Colombian in Medellin, Colombia"
HG01376	"Colombian in Medellin, Colombia"
HG01377	"Colombian in Medellin, Colombia"
HG01378	"Colombian in Medellin, Colombia"
HG01379	"Colombian in Medellin, Colombia"
HG01383	"Colombian in Medellin, Colombia"
HG01384	"Colombian in Medellin, Colombia"
HG01385	"Colombian in Medellin, Colombia"
HG01389	"Colombian in Medellin, Colombia"
HG01390	"Colombian in Medellin, Colombia"
HG01391	"Colombian in Medellin, Colombia"
HG01392	Puerto Rican in Puerto Rico
HG01393	Puerto Rican in Puerto Rico
HG01394	Puerto Rican in Puerto Rico
HG01395	Puerto Rican in Puerto Rico
HG01396	Puerto Rican in Puerto Rico
HG01397	Puerto Rican in Puerto Rico
HG01398	Puerto Rican in Puerto Rico
HG01402	Puerto Rican in Puerto Rico
HG01403	Puerto Rican in Puerto Rico
HG01404	Puerto Rican in Puerto Rico
HG01405	Puerto Rican in Puerto Rico
HG01411	Puerto Rican in Puerto Rico
HG01412	Puerto Rican in Puerto Rico
HG01413	Puerto Rican in Puerto Rico
HG01414	Puerto Rican in Puerto Rico
HG01415	Puerto Rican in Puerto Rico
HG01431	"Colombian in Medellin, Colombia"
HG01432	"Colombian in Medellin, Colombia"
HG01433	"Colombian in Medellin, Colombia"
HG01435	"Colombian in Medellin, Colombia"
