sample_id	population_description
NA18990	"Japanese in Tokyo, Japan"
NA18991	"Japanese in Tokyo, Japan"
NA18992	"Japanese in Tokyo, Japan"
NA18993	"Japanese in Tokyo, Japan"
NA18994	"Japanese in Tokyo, Japan"
NA18995	"Japanese in Tokyo, Japan"
NA18997	"Japanese in Tokyo, Japan"
NA18998	"Japanese in Tokyo, Japan"
NA18999	"Japanese in Tokyo, Japan"
NA19000	"Japanese in Tokyo, Japan"
NA19001	"Japanese in Tokyo, Japan"
NA19002	"Japanese in Tokyo, Japan"
NA19003	"Japanese in Tokyo, Japan"
NA19004	"Japanese in Tokyo, Japan"
NA19005	"Japanese in Tokyo, Japan"
NA19006	"Japanese in Tokyo, Japan"
NA19007	"Japanese in Tokyo, Japan"
NA19009	"Japanese in Tokyo, Japan"
NA19010	"Japanese in Tokyo, Japan"
NA19011	"Japanese in Tokyo, Japan"
NA19012	"Japanese in Tokyo, Japan"
NA19017	"Luhya in Webuye, Kenya"
NA19019	"Luhya in Webuye, Kenya"
NA19020	"Luhya in Webuye, Kenya"
NA19023	"Luhya in Webuye, Kenya"
NA19024	"Luhya in Webuye, Kenya"
NA19025	"Luhya in Webuye, Kenya"
NA19026	"Luhya in Webuye, Kenya"
NA19027	"Luhya in Webuye, Kenya"
NA19028	"Luhya in Webuye, Kenya"
NA19030	"Luhya in Webuye, Kenya"
NA19031	"Luhya in Webuye, Kenya"
NA19035	"Luhya in Webuye, Kenya"
NA19036	"Luhya in Webuye, Kenya"
NA19037	"Luhya in Webuye, Kenya"
NA19038	"Luhya in Webuye, Kenya"
NA19041	"Luhya in Webuye, Kenya"
NA19042	"Luhya in Webuye, Kenya"
NA19043	"Luhya in Webuye, Kenya"
NA19044	"Luhya in Webuye, Kenya"
NA19046	"Luhya in Webuye, Kenya"
NA19054	"Japanese in Tokyo, Japan"
NA19055	"Japanese in Tokyo, Japan"
NA19056	"Japanese in Tokyo, Japan"
NA19057	"Japanese in Tokyo, Japan"
NA19058	"Japanese in Tokyo, Japan"
NA19059	"Japanese in Tokyo, Japan"
NA19060	"Japanese in Tokyo, Japan"
NA19062	"Japanese in Tokyo, Japan"
NA19063	"Japanese in Tokyo, Japan"
NA19064	"Japanese in Tokyo, Japan"
NA19065	"Japanese in Tokyo, Japan"
NA19066	"Japanese in Tokyo, Japan"
NA19067	"Japanese in Tokyo, Japan"
NA19068	"Japanese in Tokyo, Japan"
NA19070	"Japanese in Tokyo, Japan"
NA19072	"Japanese in Tokyo, Japan"
NA19074	"Japanese in Tokyo, Japan"
NA19075	"Japanese in Tokyo, Japan"
NA19076	"Japanese in Tokyo, Japan"
NA19077	"Japanese in Tokyo, Japan"
NA19078	"Japanese in Tokyo, Japan"
NA19079	"Japanese in Tokyo, Japan"
NA19080	"Japanese in Tokyo, Japan"
NA19081	"Japanese in Tokyo, Japan"
NA19082	"Japanese in Tokyo, Japan"
NA19083	"Japanese in Tokyo, Japan"
NA19084	"Japanese in Tokyo, Japan"
NA19085	"Japanese in Tokyo, Japan"
NA19086	"Japanese in Tokyo, Japan"
NA19087	"Japanese in Tokyo, Japan"
NA19088	"Japanese in Tokyo, Japan"
NA19089	"Japanese in Tokyo, Japan"
NA19090	"Japanese in Tokyo, Japan"
NA19091	"Japanese in Tokyo, Japan"
NA19092	"Yoruba in Ibadan, Nigeria"
NA19093	"Yoruba in Ibadan, Nigeria"
NA19094	"Yoruba in Ibadan, Nigeria"
NA19095	"Yoruba in Ibadan, Nigeria"
NA19096	"Yoruba in Ibadan, Nigeria"
NA19097	"Yoruba in Ibadan, Nigeria"
NA19098	"Yoruba in Ibadan, Nigeria"
NA19099	"Yoruba in Ibadan, Nigeria"
NA19100	"Yoruba in Ibadan, Nigeria"
NA19101	"Yoruba in Ibadan, Nigeria"
NA19102	"Yoruba in Ibadan, Nigeria"
NA19103	"Yoruba in Ibadan, Nigeria"
NA19104	"Yoruba in Ibadan, Nigeria"
NA19105	"Yoruba in Ibadan, Nigeria"
NA19107	"Yoruba in Ibadan, Nigeria"
NA19108	"Yoruba in Ibadan, Nigeria"
NA19109	"Yoruba in Ibadan, Nigeria"
NA19113	"Yoruba in Ibadan, Nigeria"
NA19114	"Yoruba in Ibadan, Nigeria"
NA19115	"Yoruba in Ibadan, Nigeria"
NA19116	"Yoruba in Ibadan, Nigeria"
NA19117	"Yoruba in Ibadan, Nigeria"
NA19118	"Yoruba in Ibadan, Nigeria"
NA19119	"Yoruba in Ibadan, Nigeria"
NA19120	"Yoruba in Ibadan, Nigeria"
NA19121	"Yoruba in Ibadan, Nigeria"
NA19122	"Yoruba in Ibadan, Nigeria"
NA19123	"Yoruba in Ibadan, Nigeria"
NA19127	"Yoruba in Ibadan, Nigeria"
NA19128	"Yoruba in Ibadan, Nigeria"
NA19129	"Yoruba in Ibadan, Nigeria"
NA19130	"Yoruba in Ibadan, Nigeria"
NA19131	"Yoruba in Ibadan, Nigeria"
NA19132	"Yoruba in Ibadan, Nigeria"
NA19137	"Yoruba in Ibadan, Nigeria"
NA19138	"Yoruba in Ibadan, Nigeria"
NA19139	"Yoruba in Ibadan, Nigeria"
NA19140	"Yoruba in Ibadan, Nigeria"
NA19141	"Yoruba in Ibadan, Nigeria"
NA19142	"Yoruba in Ibadan, Nigeria"
NA19143	"Yoruba in Ibadan, Nigeria"
NA19144	"Yoruba in Ibadan, Nigeria"
NA19145	"Yoruba in Ibadan, Nigeria"
NA19146	"Yoruba in Ibadan, Nigeria"
NA19147	"Yoruba in Ibadan, Nigeria"
NA19148	"Yoruba in Ibadan, Nigeria"
NA19149	"Yoruba in Ibadan, Nigeria"
NA19150	"Yoruba in Ibadan, Nigeria"
NA19151	"Yoruba in Ibadan, Nigeria"
NA19152	"Yoruba in Ibadan, Nigeria"
NA19153	"Yoruba in Ibadan, Nigeria"
NA19154	"Yoruba in Ibadan, Nigeria"
NA19159	"Yoruba in Ibadan, Nigeria"
NA19160	"Yoruba in Ibadan, Nigeria"
NA19161	"Yoruba in Ibadan, Nigeria"
NA19166	"Yoruba in Ibadan, Nigeria"
NA19171	"Yoruba in Ibadan, Nigeria"
NA19172	"Yoruba in Ibadan, Nigeria"
NA19173	"Yoruba in Ibadan, Nigeria"
NA19174	"Yoruba in Ibadan, Nigeria"
NA19175	"Yoruba in Ibadan, Nigeria"
NA19176	"Yoruba in Ibadan, Nigeria"
NA19177	"Yoruba in Ibadan, Nigeria"
NA19184	"Yoruba in Ibadan, Nigeria"
NA19185	"Yoruba in Ibadan, Nigeria"
NA19186	"Yoruba in Ibadan, Nigeria"
NA19189	"Yoruba in Ibadan, Nigeria"
NA19190	"Yoruba in Ibadan, Nigeria"
NA19191	"Yoruba in Ibadan, Nigeria"
NA19195	"Yoruba in Ibadan, Nigeria"
NA19196	"Yoruba in Ibadan, Nigeria"
NA19197	"Yoruba in Ibadan, Nigeria"
NA19198	"Yoruba in Ibadan, Nigeria"
NA19199	"Yoruba in Ibadan, Nigeria"
NA19200	"Yoruba in Ibadan, Nigeria"
NA19201	"Yoruba in Ibadan, Nigeria"
NA19202	"Yoruba in Ibadan, Nigeria"
NA19203	"Yoruba in Ibadan, Nigeria"
NA19204	"Yoruba in Ibadan, Nigeria"
NA19205	"Yoruba in Ibadan, Nigeria"
NA19206	"Yoruba in Ibadan, Nigeria"
NA19207	"Yoruba in Ibadan, Nigeria"
NA19208	"Yoruba in Ibadan, Nigeria"
NA19209	"Yoruba in Ibadan, Nigeria"
NA19210	"Yoruba in Ibadan, Nigeria"
NA19211	"Yoruba in Ibadan, Nigeria"
NA19213	"Yoruba in Ibadan, Nigeria"
NA19214	"Yoruba in Ibadan, Nigeria"
NA19215	"Yoruba in Ibadan, Nigeria"
NA19221	"Yoruba in Ibadan, Nigeria"
NA19222	"Yoruba in Ibadan, Nigeria"
NA19223	"Yoruba in Ibadan, Nigeria"
NA19224	"Yoruba in Ibadan, Nigeria"
NA19225	"Yoruba in Ibadan, Nigeria"
NA19226	"Yoruba in Ibadan, Nigeria"
NA19235	"Yoruba in Ibadan, Nigeria"
NA19236	"Yoruba in Ibadan, Nigeria"
NA19237	"Yoruba in Ibadan, Nigeria"
NA19238	"Yoruba in Ibadan, Nigeria"
NA19239	"Yoruba in Ibadan, Nigeria"
NA19240	"Yoruba in Ibadan, Nigeria"
NA19247	"Yoruba in Ibadan, Nigeria"
NA19248	"Yoruba in Ibadan, Nigeria"
NA19249	"Yoruba in Ibadan, Nigeria"
NA19252	"Yoruba in Ibadan, Nigeria"
NA19254	"Yoruba in Ibadan, Nigeria"
NA19256	"Yoruba in Ibadan, Nigeria"
NA19257	"Yoruba in Ibadan, Nigeria"
NA19258	"Yoruba in Ibadan, Nigeria"
NA19307	"Luhya in Webuye, Kenya"
NA19308	"Luhya in Webuye, Kenya"
NA19309	"Luhya in Webuye, Kenya"
NA19310	"Luhya in Webuye, Kenya"
NA19311	"Luhya in Webuye, Kenya"
NA19312	"Luhya in Webuye, Kenya"
NA19313	"Luhya in Webuye, Kenya"
NA19314	"Luhya in Webuye, Kenya"
NA19315	"Luhya in Webuye, Kenya"
NA19316	"Luhya in Webuye, Kenya"
NA19317	"Luhya in Webuye, Kenya"
NA19318	"Luhya in Webuye, Kenya"
NA19319	"Luhya in Webuye, Kenya"
NA19320	"Luhya in Webuye, Kenya"
NA19321	"Luhya in Webuye, Kenya"
NA19323	"Luhya in Webuye, Kenya"
NA19324	"Luhya in Webuye, Kenya"
NA19327	"Luhya in Webuye, Kenya"
NA19328	"Luhya in Webuye, Kenya"
NA19331	"Luhya in Webuye, Kenya"
NA19332	"Luhya in Webuye, Kenya"
NA19334	"Luhya in Webuye, Kenya"
NA19338	"Luhya in Webuye, Kenya"
NA19346	"Luhya in Webuye, Kenya"
NA19347	"Luhya in Webuye, Kenya"
NA19350	"Luhya in Webuye, Kenya"
NA19351	"Luhya in Webuye, Kenya"
NA19352	"Luhya in Webuye, Kenya"
NA19355	"Luhya in Webuye, Kenya"
NA19359	"Luhya in Webuye, Kenya"
NA19360	"Luhya in Webuye, Kenya"
NA19371	"Luhya in Webuye, Kenya"
NA19372	"Luhya in Webuye, Kenya"
NA19373	"Luhya in Webuye, Kenya"
NA19374	"Luhya in Webuye, Kenya"
NA19375	"Luhya in Webuye, Kenya"
NA19376	"Luhya in Webuye, Kenya"
NA19377	"Luhya in Webuye, Kenya"
NA19378	"Luhya in Webuye, Kenya"
NA19379	"Luhya in Webuye, Kenya"
NA19380	"Luhya in Webuye, Kenya"
NA19381	"Luhya in Webuye, Kenya"
NA19382	"Luhya in Webuye, Kenya"
NA19383	"Luhya in Webuye, Kenya"
NA19384	"Luhya in Webuye, Kenya"
NA19385	"Luhya in Webuye, Kenya"
NA19390	"Luhya in Webuye, Kenya"
NA19391	"Luhya in Webuye, Kenya"
NA19393	"Luhya in Webuye, Kenya"
NA19394	"Luhya in Webuye, Kenya"
NA19395	"Luhya in Webuye, Kenya"
NA19396	"Luhya in Webuye, Kenya"
NA19397	"Luhya in Webuye, Kenya"
NA19398	"Luhya in Webuye, Kenya"
NA19399	"Luhya in Webuye, Kenya"
NA19401	"Luhya in Webuye, Kenya"
NA19403	"Luhya in Webuye, Kenya"
NA19404	"Luhya in Webuye, Kenya"
NA19428	"Luhya in Webuye, Kenya"
NA19429	"Luhya in Webuye, Kenya"
NA19430	"Luhya in Webuye, Kenya"
NA19431	"Luhya in Webuye, Kenya"
NA19432	"Luhya in Webuye, Kenya"
NA19434	"Luhya in Webuye, Kenya"
NA19435	"Luhya in Webuye, Kenya"
NA19436	"Luhya in Webuye, Kenya"
NA19437	"Luhya in Webuye, Kenya"
NA19438	"Luhya in Webuye, Kenya"
NA19439	"Luhya in Webuye, Kenya"
NA19440	"Luhya in Webuye, Kenya"
NA19443	"Luhya in Webuye, Kenya"
NA19444	"Luhya in Webuye, Kenya"
NA19445	"Luhya in Webuye, Kenya"
NA19446	"Luhya in Webuye, Kenya"
NA19448	"Luhya in Webuye, Kenya"
NA19449	"Luhya in Webuye, Kenya"
NA19451	"Luhya in Webuye, Kenya"
NA19452	"Luhya in Webuye, Kenya"
NA19453	"Luhya in Webuye, Kenya"
NA19454	"Luhya in Webuye, Kenya"
NA19455	"Luhya in Webuye, Kenya"
NA19456	"Luhya in Webuye, Kenya"
NA19457	"Luhya in Webuye, Kenya"
NA19461	"Luhya in Webuye, Kenya"
NA19462	"Luhya in Webuye, Kenya"
NA19463	"Luhya in Webuye, Kenya"
NA19466	"Luhya in Webuye, Kenya"
NA19467	"Luhya in Webuye, Kenya"
NA19468	"Luhya in Webuye, Kenya"
NA19469	"Luhya in Webuye, Kenya"
NA19470	"Luhya in Webuye, Kenya"
NA19471	"Luhya in Webuye, Kenya"
NA19472	"Luhya in Webuye, Kenya"
NA19473	"Luhya in Webuye, Kenya"
NA19474	"Luhya in Webuye, Kenya"
NA19475	"Luhya in Webuye, Kenya"
NA19625	African Ancestry in Southwest US
NA19648	"Mexican Ancestry in Los Angeles, California"
NA19649	"Mexican Ancestry in Los Angeles, California"
NA19650	"Mexican Ancestry in Los Angeles, California"
NA19651	"Mexican Ancestry in Los Angeles, California"
NA19652	"Mexican Ancestry in Los Angeles, California"
NA19653	"Mexican Ancestry in Los Angeles, California"
NA19654	"Mexican Ancestry in Los Angeles, California"
NA19655	"Mexican Ancestry in Los Angeles, California"
NA19656	"Mexican Ancestry in Los Angeles, California"
NA19657	"Mexican Ancestry in Los Angeles, California"
NA19658	"Mexican Ancestry in Los Angeles, California"
NA19659	"Mexican Ancestry in Los Angeles, California"
NA19660	"Mexican Ancestry in Los Angeles, California"
NA19661	"Mexican Ancestry in Los Angeles, California"
NA19662	"Mexican Ancestry in Los Angeles, California"
NA19663	"Mexican Ancestry in Los Angeles, California"
NA19664	"Mexican Ancestry in Los Angeles, California"
NA19665	"Mexican Ancestry in Los Angeles, California"
NA19669	"Mexican Ancestry in Los Angeles, California"
NA19670	"Mexican Ancestry in Los Angeles, California"
NA19671	"Mexican Ancestry in Los Angeles, California"
NA19672	"Mexican Ancestry in Los Angeles, California"
NA19674	"Mexican Ancestry in Los Angeles, California"
NA19675	"Mexican Ancestry in Los Angeles, California"
NA19676	"Mexican Ancestry in Los Angeles, California"
NA19677	"Mexican Ancestry in Los Angeles, California"
NA19678	"Mexican Ancestry in Los Angeles, California"
NA19679	"Mexican Ancestry in Los Angeles, California"
NA19680	"Mexican Ancestry in Los Angeles, California"
NA19681	"Mexican Ancestry in Los Angeles, California"
NA19682	"Mexican Ancestry in Los Angeles, California"
NA19683	"Mexican Ancestry in Los Angeles, California"
NA19684	"Mexican Ancestry in Los Angeles, California"
NA19685	"Mexican Ancestry in Los Angeles, California"
NA19686	"Mexican Ancestry in Los Angeles, California"
NA19700	African Ancestry in Southwest US
NA19701	African Ancestry in Southwest US
NA19702	African Ancestry in Southwest US
NA19703	African Ancestry in Southwest US
NA19704	African Ancestry in Southwest US
NA19705	African Ancestry in Southwest US
NA19707	African Ancestry in Southwest US
NA19708	African Ancestry in Southwest US
NA19711	African Ancestry in Southwest US
NA19712	African Ancestry in Southwest US
NA19713	African Ancestry in Southwest US
NA19714	African Ancestry in Southwest US
NA19716	"Mexican Ancestry in Los Angeles, California"
NA19717	"Mexican Ancestry in Los Angeles, California"
NA19718	"Mexican Ancestry in Los Angeles, California"
NA19719	"Mexican Ancestry in Los Angeles, California"
NA19720	"Mexican Ancestry in Los Angeles, California"
NA19721	"Mexican Ancestry in Los Angeles, California"
NA19722	"Mexican Ancestry in Los Angeles, California"
NA19723	"Mexican Ancestry in Los Angeles, California"
NA19724	"Mexican Ancestry in Los Angeles, California"
NA19725	"Mexican Ancestry in Los Angeles, California"
NA19726	"Mexican Ancestry in Los Angeles, California"
NA19727	"Mexican Ancestry in Los Angeles, California"
NA19728	"Mexican Ancestry in Los Angeles, California"
NA19729	"Mexican Ancestry in Los Angeles, California"
NA19730	"Mexican Ancestry in Los Angeles, California"
NA19731	"Mexican Ancestry in Los Angeles, California"
NA19732	"Mexican Ancestry in Los Angeles, California"
NA19733	"Mexican Ancestry in Los Angeles, California"
NA19734	"Mexican Ancestry in Los Angeles, California"
NA19735	"Mexican Ancestry in Los Angeles, California"
NA19737	"Mexican Ancestry in Los Angeles, California"
NA19738	"Mexican Ancestry in Los Angeles, California"
NA19740	"Mexican Ancestry in Los Angeles, California"
NA19741	"Mexican Ancestry in Los Angeles, California"
NA19742	"Mexican Ancestry in Los Angeles, California"
NA19746	"Mexican Ancestry in Los Angeles, California"
NA19747	"Mexican Ancestry in Los Angeles, California"
NA19748	"Mexican Ancestry in Los Angeles, California"
NA19749	"Mexican Ancestry in Los Angeles, California"
NA19750	"Mexican Ancestry in Los Angeles, California"
NA19751	"Mexican Ancestry in Los Angeles, California"
NA19752	"Mexican Ancestry in Los Angeles, California"
NA19753	"Mexican Ancestry in Los Angeles, California"
NA19754	"Mexican Ancestry in Los Angeles, California"
NA19755	"Mexican Ancestry in Los Angeles, California"
NA19756	"Mexican Ancestry in Los Angeles, California"
NA19757	"Mexican Ancestry in Los Angeles, California"
NA19758	"Mexican Ancestry in Los Angeles, California"
NA19759	"Mexican Ancestry in Los Angeles, California"
NA19760	"Mexican Ancestry in Los Angeles, California"
NA19761	"Mexican Ancestry in Los Angeles, California"
NA19762	"Mexican Ancestry in Los Angeles, California"
NA19763	"Mexican Ancestry in Los Angeles, California"
NA19764	"Mexican Ancestry in Los Angeles, California"
NA19766	"Mexican Ancestry in Los Angeles, California"
NA19770	"Mexican Ancestry in Los Angeles, California"
NA19771	"Mexican Ancestry in Los Angeles, California"
NA19772	"Mexican Ancestry in Los Angeles, California"
NA19773	"Mexican Ancestry in Los Angeles, California"
NA19774	"Mexican Ancestry in Los Angeles, California"
NA19775	"Mexican Ancestry in Los Angeles, California"
NA19776	"Mexican Ancestry in Los Angeles, California"
NA19777	"Mexican Ancestry in Los Angeles, California"
NA19778	"Mexican Ancestry in Los Angeles, California"
NA19779	"Mexican Ancestry in Los Angeles, California"
NA19780	"Mexican Ancestry in Los Angeles, California"
NA19781	"Mexican Ancestry in Los Angeles, California"
NA19782	"Mexican Ancestry in Los Angeles, California"
NA19783	"Mexican Ancestry in Los Angeles, California"
NA19784	"Mexican Ancestry in Los Angeles, California"
NA19785	"Mexican Ancestry in Los Angeles, California"
NA19786	"Mexican Ancestry in Los Angeles, California"
NA19787	"Mexican Ancestry in Los Angeles, California"
NA19788	"Mexican Ancestry in Los Angeles, California"
NA19789	"Mexican Ancestry in Los Angeles, California"
NA19790	"Mexican Ancestry in Los Angeles, California"
NA19792	"Mexican Ancestry in Los Angeles, California"
NA19794	"Mexican Ancestry in Los Angeles, California"
NA19795	"Mexican Ancestry in Los Angeles, California"
NA19796	"Mexican Ancestry in Los Angeles, California"
NA19797	"Mexican Ancestry in Los Angeles, California"
NA19798	"Mexican Ancestry in Los Angeles, California"
NA19818	African Ancestry in Southwest US
NA19819	African Ancestry in Southwest US
NA19828	African Ancestry in Southwest US
NA19834	African Ancestry in Southwest US
NA19835	African Ancestry in Southwest US
NA19836	African Ancestry in Southwest US
NA19900	African Ancestry in Southwest US
NA19901	African Ancestry in Southwest US
NA19902	African Ancestry in Southwest US
NA19904	African Ancestry in Southwest US
NA19905	African Ancestry in Southwest US
NA19908	African Ancestry in Southwest US
NA19909	African Ancestry in Southwest US
NA19913	African Ancestry in Southwest US
NA19914	African Ancestry in Southwest US
NA19915	African Ancestry in Southwest US
NA19916	African Ancestry in Southwest US
NA19917	African Ancestry in Southwest US
NA19918	African Ancestry in Southwest US
NA19919	African Ancestry in Southwest US
NA19920	African Ancestry in Southwest US
NA19921	African Ancestry in Southwest US
NA19922	African Ancestry in Southwest US
NA19923	African Ancestry in Southwest US
NA19924	African Ancestry in Southwest US
NA19982	African Ancestry in Southwest US
NA19983	African Ancestry in Southwest US
NA19984	African Ancestry in Southwest US
NA19985	African Ancestry in Southwest US
NA20126	African Ancestry in Southwest US
NA20127	African Ancestry in Southwest US
NA20128	African Ancestry in Southwest US
NA20129	African Ancestry in Southwest US
NA20274	African Ancestry in Southwest US
NA20276	African Ancestry in Southwest US
NA20277	African Ancestry in Southwest US
NA20278	African Ancestry in Southwest US
NA20279	African Ancestry in Southwest US
NA20281	African Ancestry in Southwest US
NA20282	African Ancestry in Southwest US
NA20284	African Ancestry in Southwest US
NA20285	African Ancestry in Southwest US
NA20287	African Ancestry in Southwest US
NA20288	African Ancestry in Southwest US
NA20289	African Ancestry in Southwest US
NA20290	African Ancestry in Southwest US
NA20291	African Ancestry in Southwest US
NA20292	African Ancestry in Southwest US
NA20294	African Ancestry in Southwest US
NA20295	African Ancestry in Southwest US
NA20296	African Ancestry in Southwest US
NA20297	African Ancestry in Southwest US
NA20298	African Ancestry in Southwest US
NA20299	African Ancestry in Southwest US
NA20300	African Ancestry in Southwest US
NA20301	African Ancestry in Southwest US
NA20302	African Ancestry in Southwest US
NA20312	African Ancestry in Southwest US
NA20313	African Ancestry in Southwest US
NA20314	African Ancestry in Southwest US
NA20316	African Ancestry in Southwest US
NA20317	African Ancestry in Southwest US
NA20318	African Ancestry in Southwest US
NA20319	African Ancestry in Southwest US
NA20320	African Ancestry in Southwest US
NA20321	African Ancestry in Southwest US
NA20322	African Ancestry in Southwest US
NA20332	African Ancestry in Southwest US
NA20333	African Ancestry in Southwest US
NA20334	African Ancestry in Southwest US
NA20335	African Ancestry in Southwest US
NA20336	African Ancestry in Southwest US
NA20337	African Ancestry in Southwest US
NA20339	African Ancestry in Southwest US
NA20340	African Ancestry in Southwest US
NA20341	African Ancestry in Southwest US
NA20342	African Ancestry in Southwest US
NA20343	African Ancestry in Southwest US
NA20344	African Ancestry in Southwest US
NA20345	African Ancestry in Southwest US
NA20346	African Ancestry in Southwest US
NA20347	African Ancestry in Southwest US
NA20348	African Ancestry in Southwest US
NA20349	African Ancestry in Southwest US
NA20350	African Ancestry in Southwest US
NA20351	African Ancestry in Southwest US
NA20355	African Ancestry in Southwest US
NA20356	African Ancestry in Southwest US
NA20357	African Ancestry in Southwest US
NA20358	African Ancestry in Southwest US
NA20359	African Ancestry in Southwest US
NA20360	African Ancestry in Southwest US
NA20361	African Ancestry in Southwest US
NA20362	African Ancestry in Southwest US
NA20363	African Ancestry in Southwest US
NA20364	African Ancestry in Southwest US
NA20412	African Ancestry in Southwest US
NA20413	African Ancestry in Southwest US
NA20414	African Ancestry in Southwest US
NA20502	Toscani in Italy
NA20503	Toscani in Italy
NA20504	Toscani in Italy
NA20505	Toscani in Italy
NA20506	Toscani in Italy
NA20507	Toscani in Italy
NA20508	Toscani in Italy
NA20509	Toscani in Italy
NA20510	Toscani in Italy
NA20511	Toscani in Italy
NA20512	Toscani in Italy
NA20513	Toscani in Italy
NA20514	Toscani in Italy
NA20515	Toscani in Italy
NA20516	Toscani in Italy
NA20517	Toscani in Italy
NA20518	Toscani in Italy
NA20519	Toscani in Italy
NA20520	Toscani in Italy
NA20521	Toscani in Italy
NA20522	Toscani in Italy
NA20524	Toscani in Italy
NA20525	Toscani in Italy
NA20526	Toscani in Italy
NA20527	Toscani in Italy
NA20528	Toscani in Italy
NA20529	Toscani in Italy
NA20530	Toscani in Italy
NA20531	Toscani in Italy
NA20532	Toscani in Italy
NA20533	Toscani in Italy
NA20534	Toscani in Italy
NA20535	Toscani in Italy
NA20536	Toscani in Italy
NA20537	Toscani in Italy
NA20538	Toscani in Italy
NA20539	Toscani in Italy
NA20540	Toscani in Italy
NA20541	Toscani in Italy
NA20542	Toscani in Italy
NA20543	Toscani in Italy
NA20544	Toscani in Italy
NA20581	Toscani in Italy
NA20582	Toscani in Italy
NA20585	Toscani in Italy
NA20586	Toscani in Italy
NA20587	Toscani in Italy
NA20588	Toscani in Italy
NA20589	Toscani in Italy
NA20752	Toscani in Italy
NA20753	Toscani in Italy
NA20754	Toscani in Italy
NA20755	Toscani in Italy
NA20756	Toscani in Italy
NA20757	Toscani in Italy
NA20758	Toscani in Italy
NA20759	Toscani in Italy
NA20760	Toscani in Italy
NA20761	Toscani in Italy
NA20762	Toscani in Italy
NA20763	Toscani in Italy
NA20764	Toscani in Italy
NA20765	Toscani in Italy
NA20766	Toscani in Italy
NA20767	Toscani in Italy
NA20768	Toscani in Italy
NA20769	Toscani in Italy
NA20770	Toscani in Italy
NA20771	Toscani in Italy
NA20772	Toscani in Italy
NA20773	Toscani in Italy
NA20774	Toscani in Italy
NA20775	Toscani in Italy
NA20778	Toscani in Italy
NA20783	Toscani in Italy
NA20785	Toscani in Italy
NA20786	Toscani in Italy
NA20787	Toscani in Italy
NA20790	Toscani in Italy
NA20792	Toscani in Italy
NA20795	Toscani in Italy
NA20796	Toscani in Italy
NA20797	Toscani in Italy
NA20798	Toscani in Italy
NA20799	Toscani in Italy
NA20800	Toscani in Italy
NA20801	Toscani in Italy
NA20802	Toscani in Italy
NA20803	Toscani in Italy
NA20804	Toscani in Italy
NA20805	Toscani in Italy
NA20806	Toscani in Italy
NA20807	Toscani in Italy
NA20808	Toscani in Italy
NA20809	Toscani in Italy
NA20810	Toscani in Italy
NA20811	Toscani in Italy
NA20812	Toscani in Italy
NA20813	Toscani in Italy
NA20814	Toscani in Italy
NA20815	Toscani in Italy
NA20816	Toscani in Italy
NA20818	Toscani in Italy
NA20819	Toscani in Italy
NA20821	Toscani in Italy
NA20822	Toscani in Italy
NA20826	Toscani in Italy
NA20827	Toscani in Italy
NA20828	Toscani in Italy
NA20829	Toscani in Italy
NA20831	Toscani in Italy
NA20832	Toscani in Italy
NA20845	"Gujarati Indian in Houston,TX"
NA20846	"Gujarati Indian in Houston,TX"
NA20847	"Gujarati Indian in Houston,TX"
NA20849	"Gujarati Indian in Houston,TX"
NA20850	"Gujarati Indian in Houston,TX"
NA20851	"Gujarati Indian in Houston,TX"
NA20852	"Gujarati Indian in Houston,TX"
NA20853	"Gujarati Indian in Houston,TX"
NA20854	"Gujarati Indian in Houston,TX"
NA20856	"Gujarati Indian in Houston,TX"
NA20858	"Gujarati Indian in Houston,TX"
NA20859	"Gujarati Indian in Houston,TX"
NA20861	"Gujarati Indian in Houston,TX"
NA20862	"Gujarati Indian in Houston,TX"
NA20863	"Gujarati Indian in Houston,TX"
NA20864	"Gujarati Indian in Houston,TX"
NA20866	"Gujarati Indian in Houston,TX"
NA20867	"Gujarati Indian in Houston,TX"
NA20868	"Gujarati Indian in Houston,TX"
NA20869	"Gujarati Indian in Houston,TX"
NA20870	"Gujarati Indian in Houston,TX"
NA20871	"Gujarati Indian in Houston,TX"
NA20872	"Gujarati Indian in Houston,TX"
NA20873	"Gujarati Indian in Houston,TX"
NA20874	"Gujarati Indian in Houston,TX"
NA20875	"Gujarati Indian in Houston,TX"
NA20876	"Gujarati Indian in Houston,TX"
NA20877	"Gujarati Indian in Houston,TX"
NA20878	"Gujarati Indian in Houston,TX"
NA20879	"Gujarati Indian in Houston,TX"
NA20881	"Gujarati Indian in Houston,TX"
NA20882	"Gujarati Indian in Houston,TX"
NA20883	"Gujarati Indian in Houston,TX"
NA20884	"Gujarati Indian in Houston,TX"
NA20885	"Gujarati Indian in Houston,TX"
NA20886	"Gujarati Indian in Houston,TX"
NA20887	"Gujarati Indian in Houston,TX"
NA20888	"Gujarati Indian in Houston,TX"
NA20889	"Gujarati Indian in Houston,TX"
NA20890	"Gujarati Indian in Houston,TX"
NA20891	"Gujarati Indian in Houston,TX"
NA20892	"Gujarati Indian in Houston,TX"
NA20893	"Gujarati Indian in Houston,TX"
NA20894	"Gujarati Indian in Houston,TX"
NA20895	"Gujarati Indian in Houston,TX"
NA20896	"Gujarati Indian in Houston,TX"
NA20897	"Gujarati Indian in Houston,TX"
NA20898	"Gujarati Indian in Houston,TX"
NA20899	"Gujarati Indian in Houston,TX"
